record_id,entity_label,behavior_score
1,9,60.93934793993101
2,2,49.10056116031533
3,5,53.46650278026562
4,2,45.38821235861831
5,8,43.87036209330196
6,2,66.07289430047983
7,1,40.27344137050291
8,8,36.987135298816916
9,7,69.42686011991387
10,7,45.87137035058004
11,1,62.50029612434761
12,5,61.60437151706189
13,4,55.899220270557926
14,1,50.56446452273926
15,4,53.90171892876378
16,3,38.57948571342913
17,8,70.84436333263096
18,0,55.839715008780146
19,5,25.546436385414744
20,6,39.965783156640484
21,5,61.30235529327015
22,4,75.04136386555533
23,3,57.481545253549285
24,4,52.56646960779179
25,8,68.60459078271438
26,4,46.33642943982612
27,9,54.632413212164465
28,7,48.716362628414345
29,6,26.32742454944605
30,3,74.8635710803252
31,9,54.87496118060427
32,4,44.3667691869415
33,6,51.18975465626012
34,5,50.3458360933105
35,2,45.17018620462685
36,9,54.71897828569101
37,2,56.190285428680454
38,1,44.110704821864395
39,2,37.229500402943174
40,9,37.10642488935622
41,0,46.88173665580592
42,8,58.88774226102454
43,1,56.775053968148725
44,2,59.70250457527663
45,4,44.01707311031879
46,9,46.9118362855875
47,3,27.65493024689028
48,4,42.15367147858249
49,5,45.799155347488345
50,4,37.00363599020333
51,9,44.2371538771251
52,0,62.401129117324814
53,5,63.53653272423205
54,8,42.52320885760803
55,2,44.65131852976709
56,1,51.923100199095686
57,5,27.270079892659577
58,2,53.60209244097754
59,3,44.185480699942495
60,5,67.22840408490795
61,5,40.1627421131336
62,1,54.518729273809896
63,2,58.22772820456946
64,8,71.42343855479551
65,1,58.30354641256705
66,2,50.841654542210556
67,8,46.24207581695905
68,3,48.35035478869807
69,0,56.86826022469146
70,1,40.09351164373473
71,2,58.63571870748776
72,8,58.15326627818212
73,8,35.14083596683775
74,5,28.872724255576927
75,5,42.54609335357837
76,2,16.771242594778926
77,4,59.274313648621266
78,3,51.31614344670042
79,9,67.869314034717
80,9,63.65683238470153
81,8,38.081644359795305
82,8,58.32862051060018
83,0,55.15112436256852
84,7,62.46904389356713
85,8,56.1450269202948
86,4,44.76895620911443
87,3,71.77971883547549
88,9,60.29363830288991
89,3,56.28026406566621
90,1,57.01247405282255
91,8,67.25118426774439
92,4,68.2693722210371
93,2,54.12309236129017
94,5,52.23883338400229
95,8,49.478993967778486
96,8,53.97046393144236
97,4,50.52551511850475
98,7,55.62557541557182
99,3,38.28954174405996
100,4,52.20904048780617
101,6,62.93862114271243
102,6,47.3735304734465
103,6,30.712353839551437
104,7,26.445876037358612
105,4,47.4689536616489
106,0,43.2523492290063
107,8,41.382979085326824
108,8,44.312598305754335
109,6,39.83503203041323
110,5,36.84523332046174
111,4,34.43415410720355
112,4,45.8179267498668
113,2,67.15409675921472
114,9,50.363822566674976
115,0,54.80817988581228
116,5,45.35463099559428
117,7,43.35809478944617
118,1,50.52113130158262
119,7,42.37947980805325
120,7,53.09043602376825
121,9,57.61879041816037
122,7,57.03272222325323
123,9,56.17755742131572
124,2,40.47467490309522
125,9,23.627216604566815
126,7,66.4794956645859
127,3,45.52781590518606
128,2,57.828038978435906
129,8,66.55979904697273
130,7,56.482970339781204
131,9,68.61411673085355
132,1,49.968609645170574
133,7,60.87447141796854
134,2,68.65467348540432
135,9,45.7478367340537
136,5,53.861741866054956
137,4,51.67406904054158
138,7,70.58541646240012
139,8,61.49890174807744
140,6,49.12568223887661
141,5,27.34962107426847
142,5,55.92461379908323
143,0,58.912424753805794
144,4,77.52771359056044
145,7,45.01464374842383
146,5,42.30953324524758
147,0,40.108021849045855
148,4,53.82104322407587
149,4,55.72379644343949
150,2,58.04288400933707
151,7,57.51410579944222
152,8,34.599499053007655
153,5,53.79267315783601
154,5,63.617269513070504
155,1,66.91478745843074
156,9,47.20070428389149
157,1,51.79655110091056
158,5,34.35538569836538
159,7,55.64738750526176
160,1,45.90740082447595
161,8,43.03819680759915
162,8,44.62469426457731
163,3,57.92984491331888
164,3,52.49026728809781
165,3,38.71775010559854
166,4,37.65402293102507
167,7,45.07104668006737
168,1,76.68031303298143
169,4,55.90088710103578
170,1,45.44304005913214
171,7,47.21891318720501
172,0,51.914768002687026
173,6,50.89618937798114
174,2,54.0184211666325
175,3,39.819289402752595
176,7,35.1191444443864
177,2,60.88536298558781
178,6,55.41050147780076
179,0,43.100861987078616
180,8,42.57409370253567
181,5,53.53167440040162
182,2,69.1905674634246
183,6,43.19210433725577
184,4,69.55126201959104
185,7,74.81443893568961
186,7,55.06725969445052
187,8,62.72274256222109
188,5,66.70036350836845
189,3,66.4475327033172
190,1,75.91375784547797
191,2,37.61027749771043
192,4,51.942621646624346
193,7,50.5341879830724
194,9,47.8651601255939
195,1,36.498124793105035
196,4,65.34898478801844
197,8,57.74745893225056
198,1,52.16184123909142
199,7,58.86771752747643
200,2,55.05514304335085
201,7,23.610445848246897
202,3,40.88080919579584
203,3,39.4058777966664
204,6,49.64790626962357
205,4,29.492094528078304
206,3,54.99381092239394
207,6,39.64083195600541
208,2,56.946996281639784
209,8,51.015197302898855
210,4,49.62480760971004
211,2,54.181076391820916
212,1,60.933348843276455
213,6,63.087734527752936
214,6,48.13131016379837
215,4,46.797551096857944
216,3,47.09037413681773
217,1,43.772503141656955
218,1,50.79960219217652
219,6,47.26830279166531
220,9,65.7058307974055
221,6,36.50724576026545
222,3,68.52364512262797
223,3,19.695190692094332
224,3,52.043881489253074
225,1,35.00245103507633
226,8,55.091929691630625
227,0,38.3484696246066
228,7,54.77968426321128
229,5,55.78526509023259
230,9,45.25948552092308
231,6,64.07688961188373
232,4,39.746286080218646
233,5,56.07060758395581
234,5,60.335610814618036
235,8,66.49734535314194
236,9,71.28030306971674
237,3,26.84747337354969
238,4,42.77633059650031
239,3,60.96988514047554
240,0,61.25991663809005
241,9,51.367914216134345
242,5,24.710647222676187
243,4,58.53860362580209
244,3,45.04386790187389
245,5,35.19511194673446
246,4,30.44297616655229
247,2,50.65530594786084
248,1,48.336513385258414
249,5,59.214069516612646
250,3,59.457306964577924
251,9,33.96596424202535
252,2,45.932768807714645
253,7,54.470001839006954
254,8,43.00262201273243
255,6,45.15888310464189
256,1,67.44513698371753
257,7,64.6452112460099
258,4,57.376305297329196
259,9,56.93139971481599
260,6,24.506501098519795
261,4,69.61140728893142
262,1,56.14871605525249
263,3,47.587813401762865
264,4,47.91673394263458
265,5,69.55186918593714
266,4,55.15661997876696
267,9,68.73987237717246
268,0,68.10143146182703
269,0,51.75110574603288
270,2,63.533250911803464
271,8,41.67953244898712
272,1,77.76938433571505
273,9,52.26483570367263
274,4,59.22877231405587
275,8,49.40247644642141
276,6,56.01659176313524
277,7,39.3624433697618
278,1,51.89479887170635
279,4,56.32958231541867
280,8,17.516619224416182
281,0,38.52334318304149
282,0,42.40715367882107
283,9,56.46583913146552
284,7,40.268919681704325
285,1,35.98852008198024
286,8,49.770480350929205
287,9,43.27437244136097
288,8,34.897789221077936
289,3,41.94393935532006
290,1,32.869000219301284
291,2,45.034404585707215
292,9,38.876445727302446
293,0,29.320454260181787
294,2,24.46872238258069
295,4,58.35379469137657
296,2,45.62001619376801
297,2,66.01183727937789
298,9,39.09830255035096
299,5,41.10583829366528
300,2,64.98593342402617
301,2,50.24067926935917
302,8,53.74471798341373
303,1,54.64288944752316
304,0,31.4040079034038
305,9,49.458842656780114
306,7,61.667633801101964
307,2,55.2758203638957
308,6,67.96082879954355
309,1,49.934793556373556
310,7,58.00130135110629
311,8,33.45898587008825
312,7,56.53737186579656
313,7,40.131907580168075
314,7,44.519826881868354
315,6,66.82117312278851
316,1,42.59853132448294
317,7,62.116107222259885
318,4,48.672642230673716
319,5,66.43337826486618
320,3,64.35391203990905
321,0,51.629929150313814
322,4,49.891096960776565
323,2,56.691858051395016
324,8,46.18365783265628
325,3,39.606627558121346
326,9,46.840121440264326
327,1,52.550708547123904
328,3,56.7370525876177
329,2,38.80274504577222
330,2,46.05895917457652
331,4,46.429964821480105
332,0,44.22254265050229
333,4,40.157354287880906
334,7,57.8695868121558
335,9,56.81000391894672
336,8,37.579178556784456
337,0,37.16306715416782
338,1,54.57120885556791
339,1,59.97050735015763
340,5,50.57783491541855
341,0,61.628526556525884
342,0,54.87742666246454
343,1,43.21893752017282
344,3,48.41976640141336
345,1,48.96982964828017
346,3,63.30928790074738
347,2,48.966247072687544
348,2,14.415933280824863
349,8,48.51657308197727
350,7,31.250153888742883
351,9,62.47446302242725
352,8,63.94896812455644
353,0,39.41210181880969
354,4,40.591880801107735
355,3,38.74547792415461
356,8,51.73668445240831
357,2,32.256837420217686
358,4,42.14206222370758
359,7,47.847873341952216
360,9,65.45686344617451
361,4,60.21303111560478
362,8,68.78820289616883
363,1,50.17713945491361
364,5,68.69224891938482
365,4,51.36304438615965
366,8,42.85314219455323
367,6,39.77522013296466
368,7,47.46752193609014
369,6,52.52161807628496
370,9,64.19750317159202
371,9,77.38753614917792
372,4,48.00201667027008
373,4,66.64641332684663
374,3,64.28327387865863
375,1,38.02697635279801
376,8,59.34609545098842
377,9,55.49134500301693
378,9,61.09381096837202
379,9,56.046324549827396
380,9,41.5824739679358
381,2,32.58266302590224
382,2,41.270020328585446
383,2,42.880091820950916
384,7,64.59672025814261
385,5,54.01929852693409
386,0,46.786262262762946
387,2,50.93007885327181
388,3,74.91483122112572
389,1,52.163779693380675
390,5,50.450044586596476
391,9,52.758641440340334
392,0,52.31939821054259
393,0,42.79676203268451
394,7,39.516631411360976
395,3,49.017897360184634
396,0,72.13777771900817
397,6,40.08757251736592
398,8,63.136279623261224
399,9,53.8943120541711
400,6,39.536293992830025
